ep_len_mean,clipfrac,fps,time_elapsed,approxkl,policy_loss,total_timesteps,serial_timesteps,explained_variance,policy_entropy,true_reward,n_updates,ep_reward_mean,value_loss
102.98,0.012092001,101186,39.11561417579651,0.0020156864,-0.0027363368,1525000,15250,0.6226619482040405,5.6717477,0.034451343,61,3.876334104349007,1.7436101
100.25,0.008952,96019,39.73888897895813,0.0015126101,-0.0014031839,1550000,15500,0.5734978318214417,5.6735544,0.03355712,62,4.659391254550883,1.8806003
110.92,0.010772,113123,40.370282888412476,0.0014517922,-0.0021395585,1575000,15750,0.6881979405879974,5.67591,0.03946795,63,6.071523259045862,1.1230863
126.53,0.007872,103051,40.95139980316162,0.0012121829,-0.001442772,1600000,16000,0.691043347120285,5.6785407,0.03865308,64,5.5196397168091975,1.1213628
112.34,0.0120520005,102571,41.550771713256836,0.0016792407,-0.002627825,1625000,16250,0.6607467532157898,5.681716,0.036231637,65,4.495987206693335,1.3873355
136.5,0.010287999,99014,42.180240869522095,0.0013486017,-0.0012554434,1650000,16500,0.6151818931102753,5.6839976,0.042866334,66,7.171592744704558,0.97582805
122.78,0.014703999,104936,42.79241490364075,0.0019057968,-0.0016218235,1675000,16750,0.6992075741291046,5.6856394,0.041452568,67,6.343020605465499,0.8886569
118.11,0.022556,102418,43.397603034973145,0.0023216142,-0.002477669,1700000,17000,0.7086003720760345,5.687915,0.041248016,68,6.282200065131633,0.8626815
127.86,0.012771999,102770,44.01523041725159,0.0015704676,-0.00038904644,1725000,17250,0.6414895951747894,5.690307,0.039676756,69,6.0392642249029045,0.99212587
137.65,0.01478,100222,44.643698930740356,0.0018038623,-0.0019967044,1750000,17500,0.7610782980918884,5.6918707,0.04715751,70,7.490225950911863,0.6851248
144.99,0.017244,101637,45.2595009803772,0.0021073546,-0.001972904,1775000,17750,0.7310053110122681,5.6940746,0.040159363,71,6.928767891003463,0.96699905
153.48,0.015168001,99653,45.86630058288574,0.0019937824,-0.0011744972,1800000,18000,0.7849655598402023,5.6957874,0.048149683,72,8.159228023363921,0.6648464
152.47,0.005612,102460,46.489890336990356,0.0010375024,-0.0013081749,1825000,18250,0.813620001077652,5.6970525,0.04874328,73,7.767256339636951,0.5467385
152.34,0.01222,103421,47.10358548164368,0.0016619923,-0.0019298062,1850000,18500,0.7689947783946991,5.6991243,0.044662613,74,7.874408828443284,0.7931902
149.65,0.018528001,100924,47.71932005882263,0.002233026,-0.0016085161,1875000,18750,0.7389638721942902,5.7017937,0.044239007,75,7.199533340878333,0.8334557
148.94,0.017728,101840,48.330424308776855,0.0022321604,-0.002116961,1900000,19000,0.7486402690410614,5.70397,0.046264317,76,7.768004224975552,0.72683114
162.51,0.009432001,100324,48.932321548461914,0.0014921217,-0.0011446003,1925000,19250,0.7049591541290283,5.7061906,0.04504748,77,8.331273972871314,0.8410185
169.31,0.017876,102857,49.53951668739319,0.0022778413,-0.0018630296,1950000,19500,0.7881698906421661,5.708173,0.049158648,78,9.365287630199832,0.67734504
167.06,0.009984,100633,50.141550064086914,0.001603726,-0.0015201301,1975000,19750,0.7657720446586609,5.708831,0.050529514,79,10.093587857544275,0.72195905
165.63,0.01924,99189,50.74798560142517,0.0022557513,-0.0021754138,2000000,20000,0.82110396027565,5.7094574,0.054472636,80,9.693858530010166,0.51087487
188.56,0.017192,100369,51.36688232421875,0.00195621,-0.0014467464,2025000,20250,0.7846983373165131,5.710517,0.054249693,81,10.958254218206871,0.56777245
