policy_loss,value_loss,clipfrac,time_elapsed,fps,ep_len_mean,policy_entropy,explained_variance,total_timesteps,true_reward,n_updates,serial_timesteps,ep_reward_mean,approxkl
-0.0015540695,0.6958117,0.0122960005,29.241868257522583,147168,90.47,5.5864863,0.7682709842920303,1275000,0.048824947,51,12750,4.6785832696608125,0.0018042785
-0.0023434258,0.89836997,0.022615999,29.788596630096436,118802,92.34,5.5888314,0.7272554337978363,1300000,0.044873238,52,13000,4.179879584675273,0.0027323894
-0.002099032,0.7100344,0.00932,30.45646333694458,113221,100.46,5.5900707,0.7882017195224762,1325000,0.049134962,53,13250,5.711710761947006,0.0014227491
-0.0030059272,0.9299594,0.03068,31.104554176330566,134872,115.44,5.5913177,0.7616847902536392,1350000,0.04632815,54,13500,5.452645038986921,0.0033597008
-0.0018340072,1.4437454,0.007448,31.664923667907715,145665,109.19,5.5925674,0.64833864569664,1375000,0.040117692,55,13750,4.530028882394399,0.0012733631
-0.0021841493,0.97567856,0.012348001,32.19637393951416,132557,101.16,5.5945673,0.7291623651981354,1400000,0.043893736,56,14000,5.307808478287698,0.0015852544
-0.0018219536,1.1235746,0.005652,32.79280996322632,150122,103.29,5.598694,0.6854563653469086,1425000,0.040211175,57,14250,4.3181265179487305,0.0010043622
-0.002682528,1.1283861,0.008148,33.31819796562195,128660,112.78,5.6013303,0.7503692805767059,1450000,0.043433614,58,14500,4.085283740702962,0.0011940851
-0.0025170436,0.594699,0.0149679985,33.95656132698059,145406,103.18,5.6025543,0.8207896947860718,1475000,0.045856826,59,14750,5.312991813974877,0.0019638767
-0.002148275,0.5439218,0.0148,34.63337969779968,109182,103.16,5.603435,0.8552972376346588,1500000,0.047708195,60,15000,5.464487352771194,0.0021232958
-0.0021108887,0.80500853,0.017136002,35.226954221725464,151234,107.9,5.605242,0.7802128344774246,1525000,0.045591608,61,15250,5.091844005814673,0.0023006937
-0.0003474243,1.22273,0.0147359995,35.77457666397095,130371,133.91,5.6059523,0.6200397312641144,1550000,0.03724104,62,15500,5.811764893337022,0.0019556892
-0.0020005307,0.93929976,0.0073160008,36.36345195770264,140524,117.53,5.6068354,0.7434868812561035,1575000,0.041786827,63,15750,5.504296709337504,0.0013266028
-0.0018492264,1.1280262,0.009339999,36.900492668151855,146634,130.03,5.6073213,0.7464204728603363,1600000,0.040353768,64,16000,5.261708975428264,0.0013902137
-0.0011687864,1.345905,0.009795999,37.43472862243652,105678,127.61,5.6081724,0.6538487076759338,1625000,0.039870914,65,16250,6.213994596379518,0.0014685086
-0.0013844876,1.0985209,0.007168,38.065975189208984,130577,137.96,5.609687,0.6333716809749603,1650000,0.041850835,66,16500,5.634400530935818,0.0012632969
-0.0015908392,0.83242655,0.010675998,38.63254427909851,125925,129.47,5.611636,0.7177164256572723,1675000,0.050360866,67,16750,7.550757622460782,0.0016420983
-0.001516156,0.678069,0.012496,39.250701665878296,105209,132.7,5.6142426,0.756877139210701,1700000,0.048935145,68,17000,6.717458351147543,0.0018398215
-0.0012168809,0.62559044,0.027104,39.875070333480835,123690,149.73,5.618605,0.7755672633647919,1725000,0.04973335,69,17250,8.033743699008701,0.0030421345
-0.0016687991,0.733533,0.011035999,40.44274640083313,154738,133.63,5.6214595,0.726884663105011,1750000,0.04960297,70,17500,7.2984709983485985,0.0015272169
-0.0014229941,0.8864764,0.0047080005,40.98318386077881,127146,136.7,5.62295,0.7465941905975342,1775000,0.048755575,71,17750,7.043530198897133,0.00097252254
-0.0016590559,0.6966035,0.008211999,41.54779052734375,152604,139.08,5.623908,0.7427980601787567,1800000,0.050759938,72,18000,8.061515561642155,0.0014947902
-0.0013038984,0.97883433,0.015147999,42.07094144821167,144199,140.47,5.6235437,0.7114827334880829,1825000,0.04230377,73,18250,6.734828283891329,0.0020402332
-0.0012369581,0.5077399,0.006984,42.60975432395935,136635,135.31,5.6234903,0.8093787431716919,1850000,0.05189932,74,18500,7.495227076633983,0.0012998369
-0.0016008647,0.7443174,0.014695999,43.152976751327515,139500,149.8,5.62309,0.7573665380477905,1875000,0.04904285,75,18750,7.1708232313635385,0.0021097674
-0.0011185557,0.58634436,0.006092,43.6861686706543,140786,159.48,5.6224885,0.7968875467777252,1900000,0.052531432,76,19000,8.657512933649373,0.0010762725
