clipfrac,explained_variance,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,total_timesteps,time_elapsed,fps,value_loss,ep_reward_mean,ep_len_mean,policy_loss
0.023444,0.5171613991260529,5.7249637,13750,55,0.013008565,0.0028139313,1375000,49.632386207580566,66844,3.3768623,0.09979270555129915,86.62,-0.003493098
0.008584,0.5536595582962036,5.7279577,14000,56,0.024659416,0.0012694712,1400000,50.47663378715515,62567,2.0131078,1.2863590848523017,88.95,-0.0018531848
0.011396,0.6387540400028229,5.731909,14250,57,0.02453299,0.0016268451,1425000,51.34030485153198,65281,2.0415232,1.4195658077269764,80.43,-0.0019305565
0.013056001,0.6539267897605896,5.7353306,14500,58,0.04035005,0.0018591738,1450000,52.19725942611694,65339,1.0371274,3.216475522212495,79.33,-0.0016846707
0.014016,0.6183869540691376,5.7388597,14750,59,0.028044874,0.0017789152,1475000,53.027752161026,60511,1.8066877,1.595489419518999,83.7,-0.0020207348
0.011116,0.6277782022953033,5.740874,15000,60,0.03853,0.0018262034,1500000,53.872032165527344,56711,1.3866949,3.2707701636416457,90.58,-0.0017534464
0.004244,0.6009857058525085,5.7414804,15250,61,0.037883047,0.0008847738,1525000,54.74577069282532,56934,1.4704896,3.9579543968720827,81.52,-0.0015124797
0.008832,0.577918291091919,5.743505,15500,62,0.035323977,0.001297022,1550000,55.59659767150879,53489,1.4603171,2.9442035617453803,94.0,-0.0018664424
0.006836,0.6379959583282471,5.7465243,15750,63,0.038632512,0.0012104629,1575000,56.57287335395813,65981,1.113502,3.631378817435325,91.53,-0.0011194517
0.017016001,0.6376623213291168,5.747735,16000,64,0.03592966,0.0022031781,1600000,57.46737027168274,72964,1.7088076,2.2792587055371403,81.59,-0.0025379877
0.017051999,0.6229259967803955,5.750949,16250,65,0.030675223,0.0023113515,1625000,58.407670974731445,85307,1.7312208,1.717753783421358,84.63,-0.0021622735
0.008579999,0.5482796132564545,5.75531,16500,66,0.037292447,0.0013492836,1650000,59.34929442405701,95017,1.1853421,3.12277622824251,94.55,-0.001489287
0.008176001,0.5474460124969482,5.7583528,16750,67,0.038845,0.001383682,1675000,60.216904163360596,108487,1.2487798,3.5802596937854103,86.63,-0.0017838717
0.015011999,0.5283927023410797,5.761687,17000,68,0.036468446,0.0018581044,1700000,61.06558799743652,86623,1.2981015,3.1974262107663707,81.29,-0.00167052
0.0086199995,0.6412651240825653,5.768308,17250,69,0.041416455,0.0015065238,1725000,61.91238188743591,83808,1.003411,4.0271056873763476,95.03,-0.001638834
0.0126720015,0.5746192634105682,5.772855,17500,70,0.037724018,0.0017259794,1750000,62.780112981796265,77303,1.3761666,4.093679602760967,87.64,-0.0018515779
0.0056680003,0.6760500967502594,5.776715,17750,71,0.046445526,0.0012773353,1775000,63.637019872665405,83486,0.84464693,5.119060129405571,91.73,-0.0011100045
0.011212001,0.6251661479473114,5.7782393,18000,72,0.039958846,0.0015450362,1800000,64.47983694076538,82623,1.051254,3.960179026219521,86.97,-0.0012653455
0.012484001,0.554959625005722,5.7799177,18250,73,0.036259845,0.0016181299,1825000,65.34028339385986,79512,1.3103716,4.919358772851992,94.37,-0.0016499348
0.008971999,0.5908538997173309,5.7803698,18500,74,0.041930243,0.0015913602,1850000,66.21660876274109,77881,1.0380167,4.405155077837003,93.92,-0.0011520268
0.012719999,0.7176017463207245,5.780736,18750,75,0.04861004,0.001692585,1875000,67.07990789413452,89448,0.75693166,5.009692323558266,78.25,-0.0019967419
0.015808,0.5761478841304779,5.780774,19000,76,0.037588987,0.0018497094,1900000,67.92546224594116,86170,1.2182057,4.89967316159225,101.11,-0.0018375026
0.012619999,0.6800813972949982,5.783425,19250,77,0.043694176,0.0016689692,1925000,68.78209900856018,80750,0.8786782,5.218267492501327,104.86,-0.0014571745
0.0114360005,0.6152812540531158,5.7871704,19500,78,0.04181581,0.001683613,1950000,69.65565276145935,81372,1.0304971,5.431466648330388,104.84,-0.0016988395
0.011236,0.6526265144348145,5.7888184,19750,79,0.04410568,0.001520889,1975000,70.52904963493347,91871,0.9224831,6.559887276548556,113.75,-0.0019066241
0.009708,0.6116730272769928,5.78956,20000,80,0.03775637,0.0015144998,2000000,71.41857576370239,68922,1.1933329,6.035218705221487,124.14,-0.001270595
0.010500001,0.6883676052093506,5.791046,20250,81,0.04642833,0.0015054398,2025000,72.314368724823,60613,0.7922473,6.92179764537033,120.35,-0.0015410508
0.015396001,0.719846248626709,5.791646,20500,82,0.045496244,0.0019819702,2050000,73.25502038002014,62200,0.7582556,7.117623327718902,131.52,-0.0018890798
