serial_timesteps,policy_loss,policy_entropy,approxkl,ep_reward_mean,clipfrac,n_updates,value_loss,explained_variance,time_elapsed,total_timesteps,true_reward,ep_len_mean,fps
13250,-0.0023844708,5.623052,0.0022876835,5.539714939362544,0.018176,53,0.5751249,0.7026561498641968,34.436546325683594,1325000,0.0562648,77.3,100683
13500,-0.0019186788,5.62218,0.0028650116,5.438582865029348,0.026327997,54,0.4282445,0.8028031885623932,35.057663917541504,1350000,0.05275172,104.08,102024
13750,-0.0018936828,5.62083,0.0019686047,6.72805218520145,0.014567999,55,0.59784585,0.6898149847984314,35.671040534973145,1375000,0.050448857,135.07,98486
14000,-0.0023551236,5.620807,0.002811313,7.229674450197849,0.025791999,56,0.4667353,0.8127925395965576,36.29331660270691,1400000,0.052324165,129.71,103908
14250,-0.0023781923,5.6206036,0.0023087086,7.058081499111808,0.020112,57,0.57685435,0.756757065653801,36.89172339439392,1425000,0.050090782,139.35,100963
14500,-0.0020872985,5.6206613,0.0023311838,7.629444298964736,0.01976,58,0.6624929,0.7705620378255844,37.62651705741882,1450000,0.051177714,139.76,51346
14750,-0.0017464447,5.6209483,0.0030173587,7.0104187300841065,0.03062,59,0.6984258,0.7243907749652863,38.831438064575195,1475000,0.045090843,155.88,92974
15000,-0.000979835,5.6219506,0.0020296418,6.361593640931715,0.017156001,60,0.9415191,0.6465921700000763,39.465883016586304,1500000,0.043507155,152.04,105557
15250,-0.002594556,5.6235514,0.0025981728,7.690437828107424,0.02434,61,0.7380008,0.708364337682724,40.30618119239807,1525000,0.048546273,142.02,100301
15500,-0.0018954787,5.6268983,0.0020600348,7.361001774485594,0.015383999,62,0.97226584,0.6775116324424744,41.00118446350098,1550000,0.042568155,156.01,104318
15750,-0.0023451142,5.628759,0.002389412,9.152095158624014,0.020580001,63,0.7233364,0.7392699718475342,41.684468030929565,1575000,0.051794928,166.18,100900
16000,-0.0020508084,5.629916,0.0022656426,5.8769961996436315,0.017819999,64,1.4433773,0.6413117349147797,42.3066303730011,1600000,0.03731065,156.42,100912
16250,-0.0011843767,5.630412,0.0011805956,8.635297733280563,0.006752,65,0.7549449,0.7433174848556519,42.905418157577515,1625000,0.04765147,163.43,108153
16500,-0.0012051375,5.629166,0.0014532582,8.47605717392345,0.00952,66,1.0996114,0.645346611738205,43.522215366363525,1650000,0.04343819,162.36,104615
16750,-0.0015720843,5.628457,0.0019413425,7.884639758294179,0.016008,67,0.9601609,0.7198784053325653,44.116886615753174,1675000,0.043586124,165.01,103624
17000,-0.0020694253,5.6294146,0.0024171586,7.873944161648556,0.019412,68,1.0333141,0.7286954522132874,44.77699637413025,1700000,0.04238717,164.7,105301
17250,-0.002189389,5.631895,0.0020415029,6.500212797752443,0.014751998,69,1.5600712,0.7008576691150665,45.46480417251587,1725000,0.034427736,176.61,108133
17500,-0.0017905477,5.632871,0.0019130465,9.535914999915185,0.016812,70,0.75922126,0.7634056359529495,46.36773753166199,1750000,0.04918755,181.45,110163
17750,-0.0017477205,5.634252,0.0021123395,8.472220806701225,0.02008,71,0.8441911,0.7502311915159225,46.944398164749146,1775000,0.04476847,183.88,107032
18000,-0.0019744763,5.635864,0.002132584,9.942550461619412,0.017104,72,0.75911933,0.7344263792037964,47.52183651924133,1800000,0.04885761,188.61,102228
18250,-0.0016187287,5.636785,0.0021402491,8.919356812109479,0.016384,73,0.9401291,0.731044203042984,48.12292504310608,1825000,0.040722657,204.46,109675
18500,-0.00087400305,5.637375,0.0016184006,9.123635601907836,0.01216,74,1.1027776,0.657062828540802,48.67910432815552,1850000,0.0403306,199.1,109669
18750,-0.0032385762,5.6376443,0.0015675453,10.568272989529993,0.010188,75,1.003111,0.7080472409725189,49.240002393722534,1875000,0.045157935,209.37,116846
19000,-0.002016409,5.637494,0.0022135712,10.347975365584276,0.017835999,76,0.62666595,0.7923461347818375,49.795891523361206,1900000,0.049045343,209.77,110390
19250,-0.0020689555,5.6366434,0.0018259536,10.927742667318308,0.012204001,77,0.7489313,0.7516124397516251,50.365756034851074,1925000,0.049525,208.4,116205
19500,-0.0020814054,5.635826,0.0020499076,9.531752622292563,0.015920002,78,0.7529487,0.7913240194320679,50.915809631347656,1950000,0.043705057,201.18,110582
19750,-0.0013567741,5.6342716,0.0018266592,9.528154452379113,0.011896001,79,0.7738443,0.7004683017730713,51.817129611968994,1975000,0.04214759,224.49,105628
20000,-0.0011114825,5.6326714,0.0014806503,7.836389483052439,0.008352,80,0.9900711,0.5810175538063049,52.386340379714966,2000000,0.037720334,211.96,107861
20250,-0.0009921183,5.63147,0.0016209871,9.00114604181299,0.010012,81,0.840497,0.6054052114486694,52.966235876083374,2025000,0.040437873,225.74,102463
20500,-0.0012724994,5.6303988,0.0013293776,8.017818105881663,0.0070920005,82,1.0717087,0.643166571855545,53.56963539123535,2050000,0.03525506,212.94,108028
20750,-0.001500167,5.628901,0.0019052416,9.079212254118538,0.013912,83,0.94349635,0.4346812963485718,54.14203119277954,2075000,0.038273595,225.17,107361
21000,-0.0016887268,5.6278086,0.0021444892,8.691159447025365,0.018556,84,0.8553432,0.5534647405147552,54.73424029350281,2100000,0.03760398,232.48,115806
21250,-0.0011087328,5.6263824,0.0015022261,6.975778374820271,0.010075999,85,1.1422285,0.5172762870788574,55.30285382270813,2125000,0.03141088,217.24,108576
21500,-0.0015447214,5.6255293,0.002472716,4.268824137382371,0.020832,86,1.7808304,0.6598393023014069,55.89194631576538,2150000,0.015492053,214.01,102211
21750,-0.0013936961,5.6254935,0.0019775392,3.5555119576227843,0.015832001,87,1.7227564,0.4971925616264343,56.46788954734802,2175000,0.0137427775,228.17,106915
22000,-0.0010069361,5.6257324,0.002270611,4.1749765230578815,0.020428,88,1.4062992,0.3984127640724182,57.031928062438965,2200000,0.020871384,217.25,100664
22250,-0.0015047572,5.6274495,0.0022862584,6.179928198304183,0.017968,89,1.190268,0.4821370244026184,57.62355709075928,2225000,0.026643801,225.75,104566
22500,-0.002312282,5.6294527,0.002499951,3.7059499307709043,0.023124,90,1.5877002,0.7062936723232269,58.196133613586426,2250000,0.016876893,229.95,104904
22750,-0.001644722,5.6313376,0.0018525183,5.151014024207993,0.015075999,91,1.2675613,0.5913927853107452,58.77274560928345,2275000,0.022426093,235.9,104522
23000,-0.0011453772,5.6335382,0.0018040363,4.973190878271104,0.012756,92,1.2650198,0.47727859020233154,59.35883069038391,2300000,0.021258125,231.77,105531
23250,-0.0014746158,5.6355505,0.002239386,3.3830069686223396,0.020028,93,1.3945254,0.4426291584968567,59.93574523925781,2325000,0.015309817,230.11,104503
23500,-0.0013412379,5.637085,0.0016779065,5.795140997981922,0.010876001,94,1.1168721,0.4434295892715454,60.51117205619812,2350000,0.024893198,229.44,106365
23750,-0.0010853882,5.638278,0.002536221,4.745075224781385,0.024164,95,1.0835917,0.3768737316131592,61.088895082473755,2375000,0.021132879,237.95,103494
24000,-0.0004523467,5.6395035,0.0028850555,5.721128608809863,0.026187997,96,1.0736527,0.5582922101020813,61.670676946640015,2400000,0.024226354,235.78,105422
24250,-0.0010734729,5.6411004,0.0014214134,6.148345543275368,0.007772,97,0.9197531,0.5182549953460693,62.252310276031494,2425000,0.028321736,225.09,103018
24500,-0.0015689579,5.641116,0.0023031973,5.161850389242918,0.019472003,98,1.0266633,0.6120108067989349,62.84158182144165,2450000,0.023111477,235.08,99340
24750,-0.0007016951,5.641121,0.0017580852,6.732462731316705,0.011511999,99,0.81097746,0.4901553988456726,63.43038821220398,2475000,0.030372754,230.31,102938
25000,-0.0014328939,5.640616,0.0022396478,6.584212617543918,0.017744001,100,0.9086789,0.4539978504180908,64.00769662857056,2500000,0.028623838,235.92,104503
25250,-0.001009625,5.640142,0.002855176,5.888642288895771,0.026528,101,1.0630082,0.550771027803421,64.58862161636353,2525000,0.026551943,227.85,103309
25500,-0.001104788,5.640564,0.0019989465,6.010419037054099,0.0144919995,102,0.9258283,0.5219901502132416,65.1641309261322,2550000,0.02698836,229.46,107806
25750,-0.0013105978,5.6430526,0.0024556718,6.079525095119952,0.021384,103,1.0604571,0.47536879777908325,65.73847818374634,2575000,0.026477464,225.8,112408
26000,-0.0014977676,5.64676,0.002493001,5.0379026232606,0.021856,104,1.2316724,0.48560529947280884,66.30133938789368,2600000,0.019905478,232.4,111417
